Frame,R_SHOULDER_R_ELBOW_R_WRIST,L_SHOULDER_L_ELBOW_L_WRIST,R_HIP_R_KNEE_R_ANKLE,L_HIP_L_KNEE_L_ANKLE,NECK_R_SHOULDER_L_SHOULDER,R_HIP_R_SHOULDER_L_SHOULDER,R_HIP_R_KNEE_L_KNEE
1,167.17112338960808,162.21885185385958,179.8561172760375,177.09333397257762,0.6625426745827322,82.6112795838303,78.42790775905623
2,170.2323042522123,167.71615360235546,177.2505310178876,177.80820839616263,2.1232858277827735,79.24105384641476,78.05945492570609
3,168.4587202089824,168.5690168416523,179.53849740901637,175.19588850343365,2.16759560497067,81.29057048929519,73.96594985247928
4,170.43569054786022,175.1131858198475,176.02795628459643,177.39972134587615,1.4121679406010903,80.6012278362603,80.42551671520636
5,165.88984824666176,178.75465155849605,179.1960166686416,176.89690480970458,0.09113764014272685,82.42150534749891,76.4058920398984
6,164.24622727406418,178.1175451931522,178.7478203858162,177.83741373394287,1.5533831627609336,82.26709404741365,77.12853268529068
7,168.75537298785346,179.9337068040855,178.87674103090043,176.49530255344303,0.1436959824405324,80.3643353529783,77.99458392872904
8,164.33750802689664,176.29743544591398,178.6513614941762,177.55648755907825,0.9259708293045497,82.35771882268199,77.77159511514627
9,165.85307662253774,178.80942210011182,179.60832715389807,174.996272832692,1.4612259549060924,85.77583536407505,78.45009310409746
10,164.24419917941523,179.42911993833653,179.83416681639275,172.90651422653843,0.03180593916061752,85.28136419443098,79.1215669266713
11,164.97353873039057,179.62870242421678,177.48793450958573,167.1407378037036,0.8108137586949312,84.85533371840789,77.41112285705017
12,162.75758863073753,177.7785223125786,179.72210424532938,162.37520732238127,0.7754380285520585,85.48772733288715,79.70538488161662
13,165.72606168965387,177.42060847538403,179.39169596926374,169.18801312007747,0.012568706526151132,86.16901719862804,75.84311313436444
14,169.14220021603907,179.01247908150262,178.61738169334006,170.06804738968202,0.009626212116448174,85.98439922142535,73.84375057786548
15,175.24942923089142,177.83533839363005,177.30030732980347,175.65146957943858,0.8454816606974253,84.69431236846647,74.67086883009443
16,175.39707260697617,176.09803005763976,176.64131199587817,179.63387641464988,0.03261258626602498,90.60072169114625,73.28292857305722
17,177.3808109159245,178.35752572145446,175.80426417702412,179.40009413984475,1.3214147525216529,92.11014508413987,72.47987309037984
18,177.77098823537295,179.42823744344753,175.21310348226606,178.85485217868376,0.39903170265041754,88.5905818847345,69.1358515754193
19,172.00732847502604,176.34280744452298,177.06427827496708,177.83598498978245,0.14969706206827707,89.13606215247422,69.5653932812571
20,171.69555033379305,177.82109585226488,178.22347431265075,175.72801582788418,2.0741865444964507,88.64980772732697,69.34415178455471
21,165.11793506955536,178.91830378128176,178.79696541814525,176.78065518498065,2.137314992467284,89.16987244132756,68.78358461850854
22,165.0778402000459,178.95924971732066,179.93188358789493,177.59101068480058,1.9222987296955125,88.72168718600169,69.55278713566186
23,174.95941369206193,179.0063051769676,179.53162323306466,178.19116759324356,1.8530156842387642,88.58370825797869,67.70352243383458
24,169.82586946998202,179.13410402889852,178.2321230388972,177.41483929063514,0.1819195023298679,86.4932482176232,67.11471233110218
25,160.6935310441443,178.989843249861,178.1867861542452,178.36925239410695,0.12487446859406366,86.53146362886372,67.33663607317085
26,160.5356327750642,178.00747700670914,176.8767070858799,178.53499513014074,0.932113266496493,85.61423583323298,65.47379019391664
27,160.79210733910537,176.44335929230667,177.58708444657861,176.40290802212795,0.9328068999292731,85.59270685975335,68.01296586501101
28,163.03458804585597,176.0283237347263,177.74132068438118,177.89397443277164,0.9051463331921342,85.02111243565462,68.35117051176783
29,163.4509029294843,178.55786515230005,178.40642235542074,178.80575113588816,0.1535116581823766,86.0654265463212,67.24944360284346
30,163.7917523294157,176.82545455016276,178.99888726884853,178.9054884665604,1.295171830561267,87.42431937725763,72.23441227964679
31,160.48565853494097,179.5653196306421,178.89221663473242,178.12304138006533,2.0400975783911965,88.33343879891869,74.4864722714376
32,160.03041423934445,179.65089105674508,177.67680841696466,179.2943958925542,2.7309390905119626,87.95823731540732,72.25727837819572
33,162.26389755170064,179.99737620356058,178.47945093343722,179.63640653261206,1.866797129523005,88.57420972778137,76.33049862630783
34,164.5248836628789,179.81663255668425,178.13974173214768,179.2314202963925,1.8268499845538582,86.26477974555222,76.88755010859937
35,168.47000822638282,175.69672889585053,177.63952514534614,179.06713574052984,1.826856005282521,87.30096870994296,77.22351950415683
36,170.83326862942272,174.25878738876816,179.99469722411533,179.65719713205914,0.9159742698324217,87.05762580458351,81.5465050485205
37,170.85744664059266,179.7143141870122,177.25801668986566,179.7324898070128,0.8727961248778462,85.02105313493105,80.86260633487385
38,169.89542886585303,173.9902112296182,177.51084140504724,179.28219080174608,0.7600039068711252,86.3159302656578,79.48139531163741
39,176.70730378763056,179.59905194892906,178.3791539814984,178.28506267126983,0.9251629449074416,86.1568292042544,80.44071803326727
40,169.11143709775183,176.31995961052337,179.53255376068273,178.3798454851466,2.1838893536089867,87.23606590704026,78.5145733567918
